fold,comparison,n_source,n_target,n_cross_pairs,pair_tanimoto_mean,pair_tanimoto_median,pair_tanimoto_std,pair_tanimoto_min,pair_tanimoto_max,target_max_tanimoto_mean,target_max_tanimoto_median,target_max_tanimoto_min,target_max_tanimoto_max,n_cross_pairs_at_or_above_report_threshold,n_targets_with_source_at_or_above_report_threshold
0,fold_0_train_to_valid,707,177,125139,0.19714518374646783,0.16470588235294117,0.10814200358810816,0.0196078431372549,1.0,0.8128813063802685,0.8292682926829268,0.3,1.0,1037,153
1,fold_1_train_to_valid,707,177,125139,0.1964208969846003,0.16304347826086957,0.10969792599785495,0.0196078431372549,1.0,0.7966526922452989,0.810126582278481,0.3181818181818182,1.0,1048,138
2,fold_2_train_to_valid,707,177,125139,0.19621780653307205,0.16304347826086957,0.10818101853911632,0.023529411764705882,1.0,0.8116882368016499,0.8235294117647058,0.20512820512820512,1.0,1039,146
3,fold_3_train_to_valid,707,177,125139,0.1953461669570347,0.16312056737588654,0.1065465389054804,0.023809523809523808,1.0,0.782079987464761,0.8,0.18292682926829268,1.0,963,143
4,fold_4_train_to_valid,708,176,124608,0.19384467682663525,0.16223291354181407,0.10570358995246255,0.02040816326530612,1.0,0.8005243425120994,0.8,0.2,1.0,883,148
