group,n,missing,mean,std,min,q25,median,q75,max,rows
development,888,0,499.2646655405407,249.8726404651058,219.28399999999999,370.46325000000013,445.59050000000025,511.93500000000029,3465.03999999999,888
test,94,0,654.10713829787244,279.6890802091234,295.42600000000004,418.29100000000022,553.61750000000029,903.5324999999998,1342.5500000000002,94
