fold,comparison,n_source,n_target,n_cross_pairs,pair_tanimoto_mean,pair_tanimoto_median,pair_tanimoto_std,pair_tanimoto_min,pair_tanimoto_max,target_max_tanimoto_mean,target_max_tanimoto_median,target_max_tanimoto_min,target_max_tanimoto_max,n_cross_pairs_at_or_above_report_threshold,n_targets_with_source_at_or_above_report_threshold
0,fold_0_train_to_valid,707,177,125139,0.2006423929222041,0.16842105263157894,0.10513029041293544,0.016666666666666666,1.0,0.7351309366961196,0.7704918032786885,0.20224719101123595,1.0,813,114
1,fold_1_train_to_valid,707,177,125139,0.19445845207513143,0.16494845360824742,0.101895713279452,0.0196078431372549,1.0,0.7373028352548289,0.7857142857142857,0.18,1.0,710,124
2,fold_2_train_to_valid,707,177,125139,0.19286770215190022,0.16455696202531644,0.0986669584799676,0.023809523809523808,0.9895833333333334,0.7017244282795738,0.7457627118644068,0.2857142857142857,0.9895833333333334,598,107
3,fold_3_train_to_valid,708,176,124608,0.19880961678043257,0.16666666666666666,0.10324958560150775,0.025,1.0,0.7336185920007693,0.7398630136986302,0.23943661971830985,1.0,724,108
4,fold_4_train_to_valid,707,177,125139,0.20116406349607258,0.16666666666666666,0.10857653232491335,0.016666666666666666,1.0,0.7332092513664686,0.775,0.19047619047619047,1.0,835,117
