fold,comparison,n_source,n_target,n_cross_pairs,pair_tanimoto_mean,pair_tanimoto_median,pair_tanimoto_std,pair_tanimoto_min,pair_tanimoto_max,target_max_tanimoto_mean,target_max_tanimoto_median,target_max_tanimoto_min,target_max_tanimoto_max,n_cross_pairs_at_or_above_report_threshold,n_targets_with_source_at_or_above_report_threshold
0,fold_0_train_to_valid,715,173,123695,0.20521691233883224,0.17346938775510204,0.09433965689498425,0.03571428571428571,0.8732394366197183,0.5680100634203052,0.5945945945945946,0.24509803921568626,0.8732394366197183,40,18
1,fold_1_train_to_valid,719,169,121511,0.17836483890986257,0.16129032258064516,0.07155135362444873,0.015384615384615385,0.9516129032258065,0.48525426669523714,0.46987951807228917,0.1919191919191919,0.9516129032258065,21,17
2,fold_2_train_to_valid,712,176,125312,0.21021313928966084,0.17708333333333334,0.09622022870399316,0.03669724770642202,0.9516129032258065,0.5637210687768405,0.5561282932416953,0.37142857142857144,0.9516129032258065,29,13
3,fold_3_train_to_valid,693,195,135135,0.18242773174938084,0.1590909090909091,0.07755896341556304,0.019417475728155338,0.847457627118644,0.5056503231092416,0.5113636363636364,0.22727272727272727,0.847457627118644,29,10
4,fold_4_train_to_valid,713,175,124775,0.18264541520263977,0.15625,0.08944579799477677,0.015384615384615385,0.8732394366197183,0.4926541310322934,0.4878048780487805,0.18292682926829268,0.8732394366197183,29,21
