group,n,missing,mean,std,min,q25,median,q75,max,rows
development,884,0,516.28412895927613,257.637183930243,219.28399999999999,376.11550000000011,451.14250000000027,526.85175000000027,3465.03999999999,884
test,98,0,494.26453061224504,249.79100603525777,275.392,373.51025000000016,442.08950000000038,494.54375000000033,1975.429000000001,98
