kind,left_group,right_group,direction,bin_lower,bin_upper,count
all_pairs,development,test,undirected_cross_group,0.84999999999999998,0.85999999999999999,14
all_pairs,development,test,undirected_cross_group,0.85999999999999999,0.87,18
all_pairs,development,test,undirected_cross_group,0.87,0.88,11
all_pairs,development,test,undirected_cross_group,0.88,0.89000000000000001,6
all_pairs,development,test,undirected_cross_group,0.89000000000000001,0.90000000000000002,7
all_pairs,development,test,undirected_cross_group,0.90000000000000002,0.91000000000000003,6
all_pairs,development,test,undirected_cross_group,0.91000000000000003,0.92000000000000004,7
all_pairs,development,test,undirected_cross_group,0.92000000000000004,0.93000000000000005,0
all_pairs,development,test,undirected_cross_group,0.93000000000000005,0.94000000000000006,0
all_pairs,development,test,undirected_cross_group,0.94000000000000006,0.95000000000000007,3
all_pairs,development,test,undirected_cross_group,0.95000000000000007,0.95999999999999996,3
all_pairs,development,test,undirected_cross_group,0.95999999999999996,0.96999999999999997,0
all_pairs,development,test,undirected_cross_group,0.96999999999999997,0.97999999999999998,0
all_pairs,development,test,undirected_cross_group,0.97999999999999998,0.98999999999999999,3
all_pairs,development,test,undirected_cross_group,0.98999999999999999,1,14
nearest_cross_group,development,test,left_to_right,0,0.01,0
nearest_cross_group,development,test,left_to_right,0.01,0.02,0
nearest_cross_group,development,test,left_to_right,0.02,0.029999999999999999,0
nearest_cross_group,development,test,left_to_right,0.029999999999999999,0.040000000000000001,0
nearest_cross_group,development,test,left_to_right,0.040000000000000001,0.050000000000000003,0
nearest_cross_group,development,test,left_to_right,0.050000000000000003,0.059999999999999998,0
nearest_cross_group,development,test,left_to_right,0.059999999999999998,0.070000000000000007,0
nearest_cross_group,development,test,left_to_right,0.070000000000000007,0.080000000000000002,0
nearest_cross_group,development,test,left_to_right,0.080000000000000002,0.089999999999999997,0
nearest_cross_group,development,test,left_to_right,0.089999999999999997,0.10000000000000001,0
nearest_cross_group,development,test,left_to_right,0.10000000000000001,0.11,0
nearest_cross_group,development,test,left_to_right,0.11,0.12,0
nearest_cross_group,development,test,left_to_right,0.12,0.13,0
nearest_cross_group,development,test,left_to_right,0.13,0.14000000000000001,0
nearest_cross_group,development,test,left_to_right,0.14000000000000001,0.14999999999999999,0
nearest_cross_group,development,test,left_to_right,0.14999999999999999,0.16,0
nearest_cross_group,development,test,left_to_right,0.16,0.17000000000000001,0
nearest_cross_group,development,test,left_to_right,0.17000000000000001,0.17999999999999999,1
nearest_cross_group,development,test,left_to_right,0.17999999999999999,0.19,1
nearest_cross_group,development,test,left_to_right,0.19,0.20000000000000001,0
nearest_cross_group,development,test,left_to_right,0.20000000000000001,0.20999999999999999,1
nearest_cross_group,development,test,left_to_right,0.20999999999999999,0.22,1
