protocol,candidate_id,model_name,model_type,stage,metric,mean,std,ci95_low,ci95_high
scaffold,tabpfn__ecfp_1024,TabPFN,ECFP4 (1024-bit),valid,AUPRC,0.7442533866194295,0.1026226695144496,0.6168305124837742,0.8716762607550849
scaffold,tabpfn__ecfp_1024,TabPFN,ECFP4 (1024-bit),valid,Accuracy,0.8598099640472521,0.0444013762025338,0.8046783737458644,0.9149415543486398
scaffold,tabpfn__ecfp_1024,TabPFN,ECFP4 (1024-bit),valid,F1,0.6581634757431388,0.10015398066825,0.5338058836705768,0.7825210678157009
scaffold,tabpfn__ecfp_1024,TabPFN,ECFP4 (1024-bit),valid,MCC,0.5884096598880391,0.1286181549055234,0.4287091274264554,0.7481101923496227
scaffold,tabpfn__ecfp_1024,TabPFN,ECFP4 (1024-bit),test,AUROC,0.9514202898550724,0.0191299956032153,0.9276672630287636,0.9751733166813812
scaffold,tabpfn__ecfp_1024,TabPFN,ECFP4 (1024-bit),test,AUPRC,0.9233982814509668,0.0108926863403863,0.9098732249783832,0.9369233379235504
scaffold,tabpfn__ecfp_1024,TabPFN,ECFP4 (1024-bit),test,Accuracy,0.926530612244898,0.0085373472095313,0.9159300955746574,0.9371311289151384
scaffold,tabpfn__ecfp_1024,TabPFN,ECFP4 (1024-bit),test,F1,0.8406785754409617,0.0179338115987331,0.8184108072282457,0.8629463436536777
scaffold,tabpfn__ecfp_1024,TabPFN,ECFP4 (1024-bit),test,MCC,0.7936872457201846,0.0233871799789302,0.764648226320835,0.8227262651195342
scaffold,tabpfn__ecfp_1024_rdkit2d_normalized_200,TabPFN,ECFP4 (1024-bit) + RDKit2D (200-d),valid,AUROC,0.8774904351984697,0.0473883408609235,0.8186500384168525,0.9363308319800868
scaffold,tabpfn__ecfp_1024_rdkit2d_normalized_200,TabPFN,ECFP4 (1024-bit) + RDKit2D (200-d),valid,AUPRC,0.765310964956781,0.0819643478263813,0.663538785124512,0.8670831447890499
scaffold,tabpfn__ecfp_1024_rdkit2d_normalized_200,TabPFN,ECFP4 (1024-bit) + RDKit2D (200-d),valid,Accuracy,0.866570364663585,0.0301268109751844,0.8291629880950083,0.9039777412321616
scaffold,tabpfn__ecfp_1024_rdkit2d_normalized_200,TabPFN,ECFP4 (1024-bit) + RDKit2D (200-d),valid,F1,0.6776812148030951,0.0644125136017366,0.5977025156300082,0.7576599139761819
scaffold,tabpfn__ecfp_1024_rdkit2d_normalized_200,TabPFN,ECFP4 (1024-bit) + RDKit2D (200-d),valid,MCC,0.6097174404845986,0.0840366218312915,0.5053721926260193,0.714062688343178
scaffold,tabpfn__ecfp_1024_rdkit2d_normalized_200,TabPFN,ECFP4 (1024-bit) + RDKit2D (200-d),test,AUROC,0.9604057971014492,0.0154490306422144,0.9412232919458648,0.9795883022570336
scaffold,tabpfn__ecfp_1024_rdkit2d_normalized_200,TabPFN,ECFP4 (1024-bit) + RDKit2D (200-d),test,AUPRC,0.9295236424913136,0.0166630226807588,0.9088337671273624,0.9502135178552644
scaffold,tabpfn__ecfp_1024_rdkit2d_normalized_200,TabPFN,ECFP4 (1024-bit) + RDKit2D (200-d),test,Accuracy,0.9285714285714286,0.0176739878323354,0.9066262741753264,0.9505165829675308
scaffold,tabpfn__ecfp_1024_rdkit2d_normalized_200,TabPFN,ECFP4 (1024-bit) + RDKit2D (200-d),test,F1,0.8425406746943652,0.0401761790896472,0.7926553595333633,0.8924259898553671
