source,source_row,raw_smiles,canonical_smiles,status,representative_source_row
zinc,13254,COC(=O)c1cccc(CC(=O)N[C@H](CN2CCCC2)c2ccccc2)c1,COC(=O)c1cccc(CC(=O)N[C@H](CN2CCCC2)c2ccccc2)c1,within_source_duplicate,8318
zinc,13255,COc1cccc(C(O)C(=O)N[C@H](CN2CCCC2)c2ccccc2)c1,COc1cccc(C(O)C(=O)N[C@H](CN2CCCC2)c2ccccc2)c1,within_source_duplicate,8319
zinc,13256,COc1cccc(C(O)C(=O)N[C@H](CN2CCCC2)c2ccccc2)c1,COc1cccc(C(O)C(=O)N[C@H](CN2CCCC2)c2ccccc2)c1,within_source_duplicate,8319
zinc,13257,O=C(O)c1cccc(CN2CCC(n3c(=O)[nH]c4ccccc43)CC2)c1,O=C(O)c1cccc(CN2CCC(n3c(=O)[nH]c4ccccc43)CC2)c1,within_source_duplicate,8321
zinc,13258,COc1ccc([C@@H](CN2CCCC2)NC(=O)Cc2ccc(O)cc2)cc1,COc1ccc([C@@H](CN2CCCC2)NC(=O)Cc2ccc(O)cc2)cc1,within_source_duplicate,8322
zinc,13259,COc1c(O)cccc1CN1CCC(n2c(=O)[nH]c3ccccc32)CC1,COc1c(O)cccc1CN1CCC(n2c(=O)[nH]c3ccccc32)CC1,within_source_duplicate,8323
zinc,13260,CN(C)C1CCN(CCNc2ncc(Br)cc2Cl)CC1,CN(C)C1CCN(CCNc2ncc(Br)cc2Cl)CC1,within_source_duplicate,8324
zinc,13261,CN(C)C1CCN(CCNc2ncc(Cl)cc2Br)CC1,CN(C)C1CCN(CCNc2ncc(Cl)cc2Br)CC1,within_source_duplicate,8325
zinc,13262,COc1cc(CC(=O)N[C@H](CN2CCCC2)c2ccccc2)ccc1O,COc1cc(CC(=O)N[C@H](CN2CCCC2)c2ccccc2)ccc1O,within_source_duplicate,8326
zinc,13263,COC(=O)c1ccc(CN2CCC(n3c(=O)[nH]c4ccccc43)CC2)cc1,COC(=O)c1ccc(CN2CCC(n3c(=O)[nH]c4ccccc43)CC2)cc1,within_source_duplicate,8327
zinc,13264,COCCNC(=O)c1ccc(NC[C@H](C(C)C)N2CCC(C)CC2)nc1,COCCNC(=O)c1ccc(NC[C@H](C(C)C)N2CCC(C)CC2)nc1,within_source_duplicate,8328
zinc,13265,COCCNC(=O)c1ccc(NC[C@@H](C(C)C)N2CCC(C)CC2)nc1,COCCNC(=O)c1ccc(NC[C@@H](C(C)C)N2CCC(C)CC2)nc1,within_source_duplicate,8329
zinc,13266,COc1ccc([C@@H](CN2CCCC2)NC(=O)Cc2cccc(N)c2)cc1,COc1ccc([C@@H](CN2CCCC2)NC(=O)Cc2cccc(N)c2)cc1,within_source_duplicate,8330
zinc,13267,C[S@@+]([O-])c1ccc(CC(=O)N[C@H](CN2CCCC2)c2ccccc2)cc1,C[S@@+]([O-])c1ccc(CC(=O)N[C@H](CN2CCCC2)c2ccccc2)cc1,within_source_duplicate,8331
zinc,13268,C[S@+]([O-])c1ccc(CC(=O)N[C@H](CN2CCCC2)c2ccccc2)cc1,C[S@+]([O-])c1ccc(CC(=O)N[C@H](CN2CCCC2)c2ccccc2)cc1,within_source_duplicate,8332
zinc,13269,COC(=O)c1ccc(CC(=O)N[C@H](CN2CCCC2)c2ccccc2)cc1,COC(=O)c1ccc(CC(=O)N[C@H](CN2CCCC2)c2ccccc2)cc1,within_source_duplicate,8333
zinc,13270,CCC(CC)NS(=O)(=O)c1ccc(NCCN2CCC(C)CC2)nc1,CCC(CC)NS(=O)(=O)c1ccc(NCCN2CCC(C)CC2)nc1,within_source_duplicate,8334
zinc,13271,CCC(CC)NS(=O)(=O)c1ccc(NCCN2CCC[C@H](C)C2)nc1,CCC(CC)NS(=O)(=O)c1ccc(NCCN2CCC[C@H](C)C2)nc1,within_source_duplicate,8335
zinc,13272,CCC(CC)NS(=O)(=O)c1ccc(NCCN2CCC[C@@H](C)C2)nc1,CCC(CC)NS(=O)(=O)c1ccc(NCCN2CCC[C@@H](C)C2)nc1,within_source_duplicate,8336
zinc,13273,CCC[C@H](C)NS(=O)(=O)c1ccc(NCCN2CCC[C@@H](C)C2)nc1,CCC[C@H](C)NS(=O)(=O)c1ccc(NCCN2CCC[C@@H](C)C2)nc1,within_source_duplicate,8337
zinc,13274,CCC[C@H](C)NS(=O)(=O)c1ccc(NCCN2CCC[C@H](C)C2)nc1,CCC[C@H](C)NS(=O)(=O)c1ccc(NCCN2CCC[C@H](C)C2)nc1,within_source_duplicate,8338
zinc,13275,CCC[C@@H](C)NS(=O)(=O)c1ccc(NCCN2CCC[C@@H](C)C2)nc1,CCC[C@@H](C)NS(=O)(=O)c1ccc(NCCN2CCC[C@@H](C)C2)nc1,within_source_duplicate,8339
zinc,13276,CCC[C@@H](C)NS(=O)(=O)c1ccc(NCCN2CCC[C@H](C)C2)nc1,CCC[C@@H](C)NS(=O)(=O)c1ccc(NCCN2CCC[C@H](C)C2)nc1,within_source_duplicate,8340
zinc,13277,COC(=O)c1ccccc1CC(=O)N[C@H](CN1CCCC1)c1ccccc1,COC(=O)c1ccccc1CC(=O)N[C@H](CN1CCCC1)c1ccccc1,within_source_duplicate,8341
zinc,13278,COc1ccc([C@@H](CN2CCCC2)NC(=O)Cc2ccccc2N)cc1,COc1ccc([C@@H](CN2CCCC2)NC(=O)Cc2ccccc2N)cc1,within_source_duplicate,8342
zinc,13279,COc1ccc(CC(=O)N[C@H](CN2CCCC2)c2ccccc2)cc1O,COc1ccc(CC(=O)N[C@H](CN2CCCC2)c2ccccc2)cc1O,within_source_duplicate,8343
zinc,13280,CC(=O)c1ccc(C(F)(F)F)nc1NCCN1CCC(N(C)C)CC1,CC(=O)c1ccc(C(F)(F)F)nc1NCCN1CCC(N(C)C)CC1,within_source_duplicate,8344
zinc,13281,COc1ccc([C@@H](CN2CCCC2)NC(=O)C(O)c2ccccc2)cc1,COc1ccc([C@@H](CN2CCCC2)NC(=O)C(O)c2ccccc2)cc1,within_source_duplicate,8345
zinc,13282,COc1ccc([C@@H](CN2CCCC2)NC(=O)C(O)c2ccccc2)cc1,COc1ccc([C@@H](CN2CCCC2)NC(=O)C(O)c2ccccc2)cc1,within_source_duplicate,8345
zinc,13283,COc1ccc([C@@H](CN2CCCC2)NC(=O)Cc2ccccc2CO)cc1,COc1ccc([C@@H](CN2CCCC2)NC(=O)Cc2ccccc2CO)cc1,within_source_duplicate,8347
