screen_id,global_rank,canonical_smiles,sources,source_count,source_row_count,rf_antagonistic_score,lightgbm_antagonistic_score,tabpfn_antagonistic_score,rf_pred_label,tabpfn_pred_label,lightgbm_pred_label,consensus_all_antagonistic,consensus_all_non_antagonistic,consensus_vote_count,consensus_mean_score,consensus_min_score,consensus_max_score,model_score_range
screen_f12a289d0ca042fad8fe,17,NC(=O)c1cccc([C@H]2C[C@H]3CC[C@@H](C2)N3CCN(CC2CCCC2)C(=O)[C@@H](O)CO)c1,gpcrdb,1,1,0.9883333333333333,0.9999882349333507,0.996506,1,1,1,1,0,3,0.9949425146633168,0.9883333333333333,0.9999882349333507,0.011654901600017364
screen_080c56f2bef01943321b,18,CS(=O)(=O)N(CCN1[C@@H]2CC[C@H]1C[C@@H](c1cccc(C(N)=O)c1)C2)CC1CCCC1,gpcrdb,1,1,0.9866666666666667,0.9998975970872621,0.9971483,1,1,1,1,0,3,0.9945708463764317,0.9866666666666667,0.9998975970872621,0.013230930420595421
screen_63d0691e2cb77dd29354,19,CS(=O)(=O)CC(=O)N(CCCN1[C@@H]2CC[C@H]1C[C@@H](c1cccc(C(N)=O)c1)C2)CC1CCCCC1,gpcrdb,1,1,0.99,0.9999849403635835,0.9935386,1,1,1,1,0,3,0.9945078528171174,0.99,0.9999849403635835,0.00998494036358355
screen_faf7835cd93bdc25fd22,20,CC(C)(C)C(=O)N(CCN1[C@@H]2CC[C@H]1C[C@@H](c1cccc(C(N)=O)c1)C2)CC1CCCC1,gpcrdb,1,1,0.985,0.9999795260856246,0.9973132,1,1,1,1,0,3,0.9940975758376948,0.985,0.9999795260856246,0.014979526085624584
screen_c02e4ab7a59e1c6149da,21,COCC(=O)N(CCN1[C@@H]2CC[C@H]1C[C@@H](c1cccc(C(N)=O)c1)C2)CC1CCCCC1,gpcrdb,1,1,0.9916666666666667,0.9999983324800577,0.99024194,1,1,1,1,0,3,0.9939689813122037,0.9902419447898865,0.9999983324800577,0.009756387690171175
screen_97c32025483e5fff0b2b,22,CC(CO)(CO)C(=O)N(CCN1[C@@H]2CC[C@H]1C[C@@H](c1cccc(C(N)=O)c1)C2)CC1CCCCC1,gpcrdb,1,1,0.9883333333333333,0.9999939121591729,0.99228215,1,1,1,1,0,3,0.9935364658894699,0.9883333333333333,0.9999939121591729,0.011660578825839596
screen_c54cd581f3416b67c746,23,NC(=O)c1cccc(C2CC3CCC(C2)N3CCN(CCCc2ccccc2)C(=O)CO)c1,reinvent,1,1,0.9833333333333333,0.9999905888060463,0.99719584,1,1,1,1,0,3,0.9935065873404255,0.9833333333333333,0.9999905888060463,0.016657255472713017
screen_2853229a849e16b28494,24,NC(=O)c1cccc([C@H]2C[C@H]3CC[C@@H](C2)N3CCN(CC2CCCCC2)C(=O)[C@@H](O)CCO)c1,gpcrdb,1,1,0.9883333333333333,0.9999889809074425,0.99054885,1,1,1,1,0,3,0.9929570544488703,0.9883333333333333,0.9999889809074425,0.011655647574109196
screen_b33522011825c12e70e4,25,CCS(=O)(=O)N(CCN1C2CCC1CC(c1cccc(C(N)=O)c1)C2)CC1CCCCC1,reinvent,1,1,0.9883333333333333,0.9999687378534937,0.99042326,1,1,1,1,0,3,0.9929084444353734,0.9883333333333333,0.9999687378534937,0.01163540452016043
screen_f3e0c808e3b9a4030e12,26,CN(C)CC(=O)N(CCN1[C@@H]2CC[C@H]1C[C@@H](c1cccc(C(N)=O)c1)C2)CC1CCCCC1,gpcrdb,1,1,0.9883333333333333,0.9995136604009941,0.9893559,1,1,1,1,0,3,0.9924009718265426,0.9883333333333333,0.9995136604009941,0.011180327067660811
screen_147ae33b4ba0f8a086f1,27,CC(CO)(CO)C(=O)N(CCN1[C@@H]2CC[C@H]1C[C@@H](c1cccc(C(N)=O)c1)C2)CC1CCCC1,gpcrdb,1,1,0.9833333333333333,0.9999823554188858,0.99228215,1,1,1,1,0,3,0.9918659469760408,0.9833333333333333,0.9999823554188858,0.016649022085552523
screen_24204930cd30bf76e5d6,28,CS(=O)(=O)CC(=O)N(CCN1[C@@H]2CC[C@H]1C[C@@H](c1cccc(C(N)=O)c1)C2)CC1CCC1,gpcrdb,1,1,0.9801514469234678,0.9999341779780507,0.99448097,1,1,1,1,0,3,0.9915221974743953,0.9801514469234678,0.9999341779780507,0.019782731054582947
screen_3feddf66d9cc48547539,29,NCC(=O)N(CCN1[C@@H]2CC[C@H]1C[C@@H](c1cccc(C(N)=O)c1)C2)CC1CCCCC1,gpcrdb,1,1,0.9766666666666667,0.9999980037175841,0.99548393,1,1,1,1,0,3,0.9907162017545179,0.9766666666666667,0.9999980037175841,0.02333133705091739
screen_9872b281951589e9658e,30,NC(=O)c1cccc([C@H]2C[C@H]3CC[C@@H](C2)N3CCN(CC2CCC(F)CC2)C(=O)CO)c1,gpcrdb,1,1,0.9848465969989282,0.9999944711570626,0.98577213,1,1,1,1,0,3,0.9902044003431754,0.9848465969989282,0.9999944711570626,0.015147874158134456
screen_3c345311f65207f625cb,31,NC(=O)c1cccc([C@H]2C[C@H]3CC[C@@H](C2)N3CCN(CC2CCC2)C(=O)[C@@H](O)CO)c1,gpcrdb,1,1,0.9801514469234678,0.9998683116705276,0.9893106,1,1,1,1,0,3,0.9897767936030887,0.9801514469234678,0.9998683116705276,0.019716864747059804
screen_51cb80386bac1ecef988,32,NC(=O)c1cccc([C@H]2C[C@H]3CC[C@@H](C2)N3CCN(CC2CCC2)C(=O)[C@H](O)CO)c1,gpcrdb,1,1,0.9801514469234678,0.9998683116705276,0.9893106,1,1,1,1,0,3,0.9897767936030887,0.9801514469234678,0.9998683116705276,0.019716864747059804
screen_0d99a354ab1d91ae9743,33,CN(C)CC(O)C(=O)N(CCN1[C@@H]2CC[C@H]1C[C@@H](c1cccc(C(N)=O)c1)C2)CC1CCCCC1,gpcrdb,1,1,0.9833333333333333,0.997664176782547,0.9874328,1,1,1,1,0,3,0.9894767626658343,0.9833333333333333,0.997664176782547,0.01433084344921376
screen_ed54f12ea9e341c4bd05,34,NC(=O)c1cccc([C@H]2C[C@H]3CC[C@@H](C2)N3CCN(CC2CCCCC2)C(=O)CCCO)c1,gpcrdb,1,1,0.9733333333333334,0.9999979356105,0.9936751,1,1,1,1,0,3,0.9890021272227125,0.9733333333333334,0.9999979356105,0.026664602277166605
screen_3ad50c25e1577418d23c,35,CC(C)(CO)C(=O)N(CCN1[C@@H]2CC[C@H]1C[C@@H](c1cccc(C(N)=O)c1)C2)CC1CCCCC1,gpcrdb,1,1,0.9883333333333333,0.9999990725997839,0.97770315,1,1,1,1,0,3,0.988678520006728,0.9777031540870667,0.9999990725997839,0.022295918512717283
screen_7f1a4d063ea3bfa77f75,36,NC(=O)c1cccc([C@H]2C[C@H]3CC[C@@H](C2)N3CCN(Cc2ccc(F)cc2)C(=O)CO)c1,gpcrdb,1,1,0.9715132636655949,0.9999807675607745,0.9934894,1,1,1,1,0,3,0.9883278052925178,0.9715132636655949,0.9999807675607745,0.028467503895179602
screen_98211514de47797a39d0,37,NC(=O)c1cccc(C2CC3CCC(C2)N3CCN(CC2CCCCC2)C(=O)Cc2cccnc2)c1,reinvent,1,1,0.9766666666666667,0.9999769025026756,0.98820585,1,1,1,1,0,3,0.988283139764567,0.9766666666666667,0.9999769025026756,0.023310235836008886
screen_06774c3b1657f31ea0e6,38,NC(=O)c1cccc(C2CC3CCC(C2)N3CCN(CC2CCCCC2)C(=O)c2cccnc2)c1,reinvent,1,1,0.9783333333333334,0.9998460044152897,0.986441,1,1,1,1,0,3,0.9882067846486092,0.9783333333333334,0.9998460044152897,0.021512671081956314
screen_c4bb03951f42ec3fb28b,39,NC(=O)c1cccc([C@H]2C[C@H]3CC[C@@H](C2)N3CCN(CC2CCCC2)C(=O)CCO)c1,gpcrdb,1,1,0.9683333333333334,0.9999989623601226,0.9948566,1,1,1,1,0,3,0.9877296305621659,0.9683333333333334,0.9999989623601226,0.031665629026789266
screen_b895fcbddf58ac51a62d,40,CS(=O)(=O)CC(=O)N(CCN1[C@@H]2CC[C@H]1C[C@@H](c1cccc(C(N)=O)c1)C2)CC1CCC(F)(F)CC1,gpcrdb,1,1,0.9697961904761905,0.9998460485778764,0.99342495,1,1,1,1,0,3,0.9876890636947495,0.9697961904761905,0.9998460485778764,0.030049858101685922
screen_ddf5baa87bb8a11f33e4,41,NC(=O)c1cccc([C@H]2C[C@H]3CC[C@@H](C2)N3CCN(Cc2ccc(C(F)(F)F)cc2)C(=O)CO)c1,gpcrdb,1,1,0.9698465969989282,0.9998617843381867,0.9927477,1,1,1,1,0,3,0.9874853684644528,0.9698465969989282,0.9998617843381867,0.030015187339258564
screen_ab74f41839e459871250,42,CN[C@@H](CO)C(=O)N(CCN1[C@@H]2CC[C@H]1C[C@@H](c1cccc(C(N)=O)c1)C2)CC1CCCCC1,gpcrdb,1,1,0.9833333333333333,0.9999842605445463,0.9788844,1,1,1,1,0,3,0.9874006642717017,0.9788843989372253,0.9999842605445463,0.021099861607320913
screen_f5517d279eb0cd89baf5,43,NC(=O)c1cccc([C@H]2C[C@H]3CC[C@@H](C2)N3CCN(CC2CCC(C(F)(F)F)CC2)C(=O)CO)c1,gpcrdb,1,1,0.9748465969989282,0.9998559076145783,0.98733485,1,1,1,1,0,3,0.9873457840212542,0.9748465969989282,0.9998559076145783,0.02500931061565015
screen_e9b54aafb9e3fa02c4b2,44,CCCCCNC(=O)N(CCN1[C@@H]2CC[C@H]1C[C@@H](c1cccc(C(N)=O)c1)C2)CC1CCCCC1,gpcrdb,1,1,0.9733333333333334,0.9961477958667928,0.9923427,1,1,1,1,0,3,0.9872746132317071,0.9733333333333334,0.9961477958667928,0.022814462533459423
