smiles,gpcrdb_cid,species,receptor,source_file
COCC12Cc3ccc(O)cc3C(C)(CCC1N)C2,101030,bos,mu,bos-mu.xlsx
CN1CC[C@]23c4c5ccc(O)c4O[C@@]2(C)C(=O)CC[C@@]3(NC(=O)CSSCC(=O)N[C@@]23CCC(=O)[C@]4(C)Oc6c(O)ccc7c6[C@@]42CCN(C)C3C7)C1C5,101501,bos,mu,bos-mu.xlsx
CN(C)C1CCC2(C)CC1(CO)Cc1ccc(O)cc12,101757,bos,mu,bos-mu.xlsx
CN(C)C1CCC2(C)CC1(C)Cc1ccc(O)cc12,102027,bos,mu,bos-mu.xlsx
C=C1C[C@H]([C@H]2C[C@@]34C=C[C@]2(OC)[C@@H]2Oc5c(O[Si](C)(C)C(C)(C)C)ccc6c5[C@@]23CCN(C)[C@@H]4C6)OC1=O,102423,bos,mu,bos-mu.xlsx
CO[C@]12C=C[C@@]3(CC1[C@H](C)N=C=S)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,102424,bos,mu,bos-mu.xlsx
COc1ccc2c3c1O[C@@H]1[C@]34CCN(C)[C@H](C2)[C@]42C=C[C@@]1(OC)C([C@H](C)N=C=S)C2,102425,bos,mu,bos-mu.xlsx
COc1ccc2c3c1O[C@H]1[C@@]4(OC)C=C[C@@]5(C[C@@H]4[C@@H](C)N=C=S)[C@@H](C2)N(C)CC[C@]315,102426,bos,mu,bos-mu.xlsx
CO[C@]12C=C[C@@]3(CC1[C@H](C)N=C=S)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1C)[C@H]2O5,102427,bos,mu,bos-mu.xlsx
COc1ccc2c3c1O[C@@H]1[C@]34CCN(CC3CC3)[C@H](C2)[C@]42C=C[C@@]1(OC)C([C@H](C)N=C=S)C2,102428,bos,mu,bos-mu.xlsx
C=C1C[C@H]([C@H]2C[C@@]34C=C[C@]2(OC)[C@@H]2Oc5c(O)ccc6c5[C@@]23CCN(CC2CC2)[C@@H]4C6)OC1=O,102429,bos,mu,bos-mu.xlsx
C=C(C)C(=O)O[C@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,103272,bos,mu,bos-mu.xlsx
O=C(/C=C/c1ccc([N+](=O)[O-])cc1)N[C@@]12C=CC(=O)[C@@H]3Oc4c(O)ccc5c4C31CCN(CC1CC1)C2C5,107332,bos,mu,bos-mu.xlsx
COc1ccc2c3c1O[C@@]1(C)C(=O)CC[C@@]4(NC(=O)/C=C/c5ccc([N+](=O)[O-])cc5)C(C2)N(C)CCC314,108586,bos,mu,bos-mu.xlsx
CN1CCC23c4c5ccc(O)c4O[C@@]2(C)C(=O)C=C[C@@]3(NC(=O)/C=C/c2ccc([N+](=O)[O-])cc2)C1C5,109938,bos,mu,bos-mu.xlsx
COc1ccc2c3c1O[C@@]1(C)C(=O)CC[C@@]4(NC(=O)/C=C/c5ccc([N+](=O)[O-])cc5)C(C2)N(CC2CC2)CCC314,111442,bos,mu,bos-mu.xlsx
CN1CCC2(c3cccc(O)c3)CCCC1[C@@H]2O,129286,bos,mu,bos-mu.xlsx
CC12CCC(N)C(CO)(Cc3ccc(O)cc31)C2,158511,bos,mu,bos-mu.xlsx
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(NC(=O)CSSCC(=O)N[C@@]23CCC(=O)[C@@H]4Oc6c(O)ccc7c6[C@@]42CCN(C)[C@@H]3C7)[C@H]1C5,160324,bos,mu,bos-mu.xlsx
COc1ccc2c3c1O[C@@]1(C)C(=O)C=C[C@@]4(NC(=O)/C=C/c5ccc([N+](=O)[O-])cc5)C(C2)N(CC2CC2)CCC314,161780,bos,mu,bos-mu.xlsx
C=C(Cl)C(=O)N[C@@H]1CCC2C3Cc4ccc(O)c5c4C2(CCN3C)[C@H]1O5,161823,bos,mu,bos-mu.xlsx
CN1CC23Cc4ccc(O)cc4C(C)(CCC12)C3,163330,bos,mu,bos-mu.xlsx
COCC12Cc3ccc(O)cc3C(C)(CCC1N(C)C)C2,168093,bos,mu,bos-mu.xlsx
CNC1CCC2(C)CC1(CO)Cc1ccc(O)cc12,201068,bos,mu,bos-mu.xlsx
CNCC12Cc3ccc(O)cc3C(C)(CCC1N)C2,201145,bos,mu,bos-mu.xlsx
COC[C@]12Cc3ccc(O)cc3[C@](C)(CCc3nnnn31)C2,202908,bos,mu,bos-mu.xlsx
CN1CNC2CCC3(C)CC2(Cc2ccc(O)cc23)C1,203523,bos,mu,bos-mu.xlsx
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(NC(=O)CS)[C@H]1C5,204224,bos,mu,bos-mu.xlsx
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(NC(=O)/C=C/c2ccc([N+](=O)[O-])cc2)[C@H]1C5,204295,bos,mu,bos-mu.xlsx
C=C1CC2(CCC3(O)[C@H]4Cc5ccc(O)c6c5[C@@]3(CCN4CC3CC3)C2O6)OC1=O,204809,bos,mu,bos-mu.xlsx
COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(NC(=O)/C=C/c5ccc([N+](=O)[O-])cc5)[C@@H](C2)N(CC2CC2)CC[C@]314,204876,bos,mu,bos-mu.xlsx
O=C(/C=C/c1ccc([N+](=O)[O-])cc1)N[C@@]12CCC(=O)[C@@H]3Oc4c(O)ccc5c4[C@@]31CCN(CC1CC1)[C@@H]2C5,204918,bos,mu,bos-mu.xlsx
