group,n,missing,mean,std,min,q25,median,q75,max,rows
development,884,0,521.74718099547533,266.18589972928049,219.28399999999999,377.53650000000016,455.18300000000016,533.44125000000031,3465.03999999999,884
test,98,0,444.98557142857152,130.89763744262618,311.46900000000011,365.82075000000009,408.07600000000014,475.01800000000026,933.03599999999994,98
